,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,Aruba,ABW,7.622920649302216,4.182001630477899,-0.9449534811573841,1.1105045994428195,7.293728070961919,-0.3831376720637678,1.1274114641162356,3.089544384850896,1.835755171913675,-11.677741369385188,-2.733456792506388,3.369237184215109,-1.0407998843668338,6.4314826041882185,-1.5865751381723499,-0.6236259023712449,1.7196249798944194,7.04853338603499,2.397085276210447,-2.232440391605678,-26.211820782880267,24.132627356979782,8.517918105175454,4.263719414529476,
1,Africa Eastern and Southern,AFE,3.2149460989400467,3.5057264687205816,3.836077992722892,2.9562412623915293,5.55539685526702,6.163380043104809,6.577873718008263,6.647020995277202,4.368186684733814,0.8709839636039618,5.231635802478181,4.064941366378733,1.746871185423359,4.341457844845479,3.992862552448244,3.0049368992623613,2.194760890543378,2.6845430537800468,2.666631828410246,2.1943185272766925,-2.864292510598972,4.576392802123806,3.5538783639464953,2.3201378015892544,
3,Africa Western and Central,AFW,3.8684794126853603,5.172056042052304,9.974801833766819,5.545940594358484,7.987541625667944,5.823984125505689,5.371145726745752,5.530762585563281,6.278629231048669,6.271878282355331,6.9695240398372675,4.853027842415216,5.168218836769327,6.160028842905689,5.920022961384348,2.7203645361636433,0.16078209693068857,2.28981037958782,2.8447554166237836,3.2329025119369987,-1.0039940395929676,4.037629513509671,3.789679845799469,3.354732819000205,
4,Angola,AGO,3.054624234307852,4.205998556195098,13.66568876085617,2.990000000000009,10.950000005946478,15.029999990551318,11.549999997879027,14.0100000086059,11.169999994214635,0.8600000021527876,4.398375938107634,3.472053147981029,8.542107075841415,4.95461303112738,4.822559269621564,0.9435715613250011,-2.580049644049325,-0.14721294108575478,-1.3163616889689536,-0.7022729576160174,-5.638214717149339,1.1992105214515334,3.0447265239191807,1.001289360282982,
5,Albania,ALB,6.946216592442539,8.293312631210227,4.536524160356748,5.528637464917878,5.514667910979142,5.526424246954647,5.902659035919243,5.98325951855567,7.500041430201506,3.3542893498746054,3.7069381525531924,2.545406144501044,1.4172427999077968,1.0020175407110798,1.774448852603939,2.2187263751780364,3.3149806838413696,3.802598720190531,4.019345616955761,2.0625675399998897,-3.3137161471208287,8.969553391789347,4.826688314344366,3.9366252574216674,
6,Andorra,AND,3.528362361223884,8.119357721699487,4.546362213646532,8.694203716124676,8.135676338373514,5.3977959850042225,4.80868869916921,1.5531881410322228,-5.559186368505806,-5.302846543482914,-1.974957999653455,-0.008069753411390934,-4.974443718535028,-3.5475965154934386,2.5044655211451783,1.4341403952271605,3.7096780697898595,0.346071889630295,1.588765490463544,2.015547638483085,-11.18393993553839,8.28677879049404,9.564612256481837,2.58355480961319,
7,Arab World,ARB,6.354123171125508,2.103103221764229,1.2293416398646855,4.281253910372456,9.076592829110112,5.569287093114909,6.295488541256361,4.609900390807013,5.565642707963775,0.6490511331669353,4.836465320907195,3.5693512131756506,5.002705660950909,2.5503281321897617,2.5223514652618775,3.243988903098554,3.6143067993392464,1.5377533135105352,2.6300400351084647,1.5837146635425086,-4.711784242887688,4.031106353093676,5.721433108554393,1.020751343150252,
8,United Arab Emirates,ARE,10.852704215377983,1.3990850370667545,2.4334568108961747,8.800540813553283,9.566436637670563,4.85514119553352,9.837319769239585,3.184390173246072,3.1918362733181596,-5.242921903850274,1.602850048448019,6.2161218133718705,1.8244807887018766,5.055559654259881,4.165691842561785,6.786772879452158,5.561490754967991,0.7350687131656457,1.3139138814111817,1.1083481389309924,-4.957052436527391,4.354755299213053,7.509697032218355,3.6187065354717447,
9,Argentina,ARG,-0.7889989390569099,-4.408839682585565,-10.89448482859028,8.83704079576924,9.02957330068152,8.851659920134367,8.047151500430274,9.007650875047574,4.057233103464057,-5.918525076349468,10.125398156100232,6.003951692805785,-1.026420454432099,2.4053237807943617,-2.5126153208139357,2.731159828289435,-2.0803278437781074,2.818502977759181,-2.6173964628203805,-2.000861002857846,-9.9004848136464,10.441811988250564,5.26987967384072,-1.611001620901888,
10,Armenia,ARM,5.9000000031209225,9.599999999275965,13.199999997935578,14.000000001550148,10.499999998820186,13.899999999113263,13.199999999466144,13.700000001546698,6.900000000429586,-14.10000000069978,2.2000000002150983,4.699999998674116,7.200000000964863,3.3,3.6000000005899295,3.1999999989662484,0.19999999982599093,7.500000001641439,5.199999999653244,7.599999998539175,-7.199999999206312,5.800000000656453,12.599999999776628,8.299999999595386,
12,Antigua and Barbuda,ATG,6.203491676816881,-4.548068042107317,1.027224986622997,6.076895997259825,5.766735432176276,6.473917197632289,12.708012531195251,9.31533050979209,-0.014006447275420442,-11.962966075942816,-7.840430063305078,-1.9587218105028228,3.3728352515334734,-0.6007155119317531,2.2114525132299576,1.4451552987307679,4.099765538777646,2.4633333659041625,6.95318609219737,3.1004451498284737,-18.880399202632532,8.191718461817302,9.516395643594606,3.8620121873038897,
13,Australia,AUS,3.9215029305806013,2.0251055345459292,3.9795856806736225,3.0907619048934833,4.224284813599624,3.154167531842205,2.755346105572272,3.7733217130356564,3.586266952260459,1.8925558192254925,2.2199802653654928,2.4070801829198842,3.916709424540727,2.6021933943655853,2.595284115940416,2.1901692869522122,2.759385972383896,2.279591798203427,2.878469714678829,2.171545057371759,-0.11959073582997348,2.111168147687863,4.2423855533613875,3.4419922000902545,
14,Austria,AUT,3.1895226785978252,1.3169876089574615,1.4843689777327,1.1415650147739171,2.5652550925735653,2.3203652667973103,3.2693361060239283,3.775224616212242,1.453305597526807,-3.586264779313126,1.808982669608497,2.9274679078969257,0.6282461794139493,-0.2507265459267387,0.7557990768927993,1.3035230979888865,2.1172196709610773,2.2722501203745935,2.4842208668992782,1.7549764558532956,-6.318255286702083,4.795329105514583,5.277894212037154,-0.9549623668492586,
15,Azerbaijan,AZE,11.099999143434601,9.899999865336426,9.438916269065615,10.208299400477642,9.253801797289071,27.961538108213134,34.5,24.99999985156829,10.758978060468365,9.29636374447091,5.048944513495741,0.10000013782457984,2.1652394748415986,5.80980084268208,2.7505068153551804,1.0939759162746867,-3.099999880372664,0.19999993895865487,1.4999999999999858,2.500000067437341,-4.300000102307365,5.616451028530278,4.714802365212307,1.1239743270964055,
16,Burundi,BDI,-0.8568640584241507,2.0558071083524254,4.446519412247966,-1.2237279602344415,4.833657768094525,0.9000000009019118,5.413807144914443,3.4519485638194283,4.861716367126405,3.812745366334184,5.124159994398056,4.032599988444147,4.446706331114953,4.924189898346839,4.240650214026573,-3.9000000804854977,-0.6000009091163889,0.5000012624292793,1.609935421277143,1.812565324015523,0.327156892638385,3.0999999987062665,1.848999439482128,2.7000005970513286,
17,Belgium,BEL,3.716705159952525,1.0996035881653654,1.706894106578602,1.0379552849711473,3.5712068078027244,2.3217379643264167,2.5523406784896423,3.676924838925231,0.44690494771752753,-1.9064408937582584,2.7103114134645807,1.9311549785905129,0.21580367322044935,0.3054944785623803,1.7655403820308777,1.4741643858801297,1.193502639951106,1.4744676565309192,1.8779685721940211,2.442890066486086,-4.792983897262644,6.202554015860812,4.2334318336916965,1.2517006320359485,
18,Benin,BEN,5.857714205432686,5.333135706039371,4.643030870744823,3.4435767759165827,4.429684553850819,1.7131645636118407,3.9437388281579757,5.986349321776089,4.896577084296467,2.319292139128379,2.1140647264839174,2.963752919042008,4.811223315687997,7.191433721449457,6.357679097919316,1.7781510603027755,3.339673426296926,5.671561951504444,6.697253621808883,6.8656866284833455,3.8487924003013347,7.155451645757395,6.2532449140134645,6.352821609142879,
19,Burkina Faso,BFA,1.8884738890652528,6.61340574539679,4.352963829880991,7.802493888703594,4.478452136703865,8.661873228412247,6.2531646881747776,4.111379017615164,5.799991741053873,2.961950858666924,8.446281577076249,6.622562613066933,6.452672379531464,5.792584845098673,4.326845614529759,3.921228793793503,5.95797670754024,6.203489411218683,6.604569068123411,5.889204970681348,2.010772624062213,6.942524925723475,1.4972397409896985,2.960181473849289,
20,Bangladesh,BGD,5.293294718925324,5.07728777526728,3.83312393993225,4.739567399630445,5.2395329102985215,6.535944938755023,6.671904985767881,7.058599354498483,6.013789757385354,5.045124799193374,5.571788185331215,6.464379124977285,6.521458779064432,6.013605658343437,6.061059358849505,6.552639878161969,7.113478212700926,6.590249997940575,7.319412630141358,7.881915151177225,3.448017551224453,6.9386791244244534,7.0998287757515754,5.775112370078887,
21,Bulgaria,BGR,4.587225510389771,3.8237043739808456,5.871931189689363,5.23715363472283,6.510425174311706,7.056349211816965,6.802588987458421,6.654387649002189,6.129558799011818,-3.347141367042056,1.5553596346203165,2.0901752701553846,0.7488148967965742,-0.5427516030301547,0.9494489850904841,3.3975532586942165,3.026628931389183,2.7459264470779345,2.5494643471817966,3.788850364780032,-3.215737434450162,7.780614814069779,4.03877758301681,1.886814839071775,
22,Bahrain,BHR,5.300070056008849,2.4909481082985963,3.348550667941069,6.296441978693764,6.980960594298196,6.768997871074859,6.467000121995838,8.293960447596874,6.245010774962594,2.539885935850478,4.334299172831351,1.928157911707956,3.8030289904306187,5.292622249062035,4.308856926570769,2.5078720526761487,3.81499327422425,4.953835341236569,2.052588649798608,2.052877744186546,-5.911362952415203,4.3500409166898635,5.981302821771251,2.980792766585097,
23,"Bahamas, The",BHS,4.148419307542667,2.626009826834249,2.7049562473102924,-1.2649166761237183,0.8823737445183184,3.3960842053601112,2.516592217127055,1.4460999123575817,-2.323648070418514,-4.175428056473422,1.5386624869383496,0.6131707358906482,2.9979032065597266,-2.8633092572608945,1.8472608434884563,0.9967586105941137,-0.9619087768585359,2.799518639344953,2.6298898599393254,-1.3572652092889825,-21.42346306584875,15.40314894278481,10.782013200150288,2.6390559807510243,
24,Bosnia and Herzegovina,BIH,5.41431594987489,2.423313171809923,5.027444207339826,3.867138795134295,6.325266168614661,3.8971779899219285,5.4140035707943355,5.857126342170943,5.44383103450177,-3.00445593013346,0.8656692602370839,0.9595112472412666,-0.8218364742168944,2.3498566632458022,1.1538510920040324,4.314750611163348,3.24225521171914,3.2441009588946628,3.8274992054689676,2.8873433441487464,-3.0150951475986147,7.389962340127568,4.226811010955458,2.211124472112047,
25,Belarus,BLR,5.800003360829706,4.725306049980688,5.0452675054476686,7.0431925119442695,11.449743057227053,9.400001588640137,9.999994721339789,8.600006599017746,10.199999472722027,0.1999952493851822,7.750017066491836,5.549974722964905,1.7078525698539977,0.9987192786586832,1.6511246852453496,-3.8295705582838906,-2.5264464355237095,2.532183500229749,3.1491975937500456,1.4464554769182598,-0.6727429506241549,2.4388621239681925,-4.658395915735909,3.8862421445690103,
26,Belize,BLZ,12.240459581452612,4.993967754908056,5.3971238552874325,9.666655654299788,4.780840488025291,2.219538841929733,4.511447375822698,3.3532482910813286,-1.6821164462035227,-0.38932146829810677,1.1140357874026137,-0.24454378122534592,3.7377757861718095,4.454326006860626,4.030845577503172,2.8761837951595908,0.054551653597002314,-1.8128535405165849,1.1105712500867497,4.267636896180861,-13.902910064521791,17.74617012056791,9.652977723897578,1.1490168206586162,
27,Bermuda,BMU,9.317156410860832,7.222435537526081,-1.4777905976886672,3.410706676875307,2.3212672232313594,1.6742061141050755,5.543866380440605,3.345139708776074,-1.8659558263518647,-5.626697710516098,-2.502878289473685,-3.7427443174070305,-5.305299106752969,-0.27970854542303414,-3.701067593642577,0.7755296995689775,-0.6572063042592049,3.611419837061149,-0.43280130033930675,0.3062667352339332,-6.842869642705438,5.419094840483581,6.431133996336939,-0.0948235929642749,
28,Bolivia,BOL,2.507810808994833,1.6837991272182506,2.485565737838286,2.711339837006733,4.173295589162478,4.421433126879791,4.797008823560674,4.564384268878868,6.14849787462164,3.3569995743056467,4.126722591056705,5.204092443085997,5.122275580917574,6.7960114281084145,5.460569574615931,4.857187232453867,4.2639208375445605,4.1952063010676,4.223623511188748,2.2167057775035914,-8.737884433991269,6.111372752057463,3.6056803827947164,3.0819652408703604,
