Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Albania,ALB,16.8,16.4,4.615,15.0,14.4,6.566,13.8,15.966,13.06,13.674,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.639,11.474,10.785,10.669,
Australia,AUS,6.288,6.747,6.375,5.933,5.399,5.036,4.785,4.381,4.242,5.565,5.214,5.083,5.225,5.663,6.078,6.055,5.711,5.592,5.345,5.143,6.394,5.023,3.728,3.668,
Austria,AUT,4.687,4.007,4.852,4.779,5.969,5.682,5.32,4.909,4.198,5.371,4.883,4.637,4.909,5.367,5.674,5.802,6.064,5.561,4.933,4.56,5.201,6.459,4.992,5.264,
Azerbaijan,AZE,11.78,10.91,10.04,9.17,7.99,7.26,6.62,6.33,5.86,5.74,5.63,5.42,5.19,4.97,4.91,4.96,5.0,5.0,4.9,5.0,7.24,6.04,5.65,,
Belgium,BEL,6.586,6.178,6.91,7.68,7.363,8.44,8.246,7.459,6.976,7.908,8.293,7.14,7.542,8.425,8.523,8.482,7.83,7.09,5.941,5.364,5.545,6.248,5.57,5.528,
Bulgaria,BGR,16.218,19.921,18.11,13.733,12.037,10.083,8.951,6.878,5.609,6.817,10.279,11.26,12.27,12.941,11.424,9.143,7.575,6.164,5.211,4.23,5.125,5.267,4.268,4.319,
Canada,CAN,6.829,7.219,7.665,7.574,7.185,6.758,6.484,6.156,6.284,8.46,8.178,7.637,7.392,7.143,7.023,6.945,7.038,6.426,5.837,5.69,9.657,7.527,5.28,5.415,
Central Europe and the Baltics,CEB,12.166121556037231,13.505316177362593,13.957207993852686,13.26364905064949,12.87662964923853,12.031057169992277,10.117208530505174,7.805137237345561,6.600337210913474,8.516515683790269,9.926547566247889,9.80886284662704,10.008852348776555,10.078219797910632,8.879508823061752,7.815951118874815,6.481621163549629,5.284201735350085,4.30578107835685,3.7710554822730313,4.359087824146787,4.463176153617079,3.9842838033206722,4.014840385837142,
Switzerland,CHE,2.658,2.49,2.924,4.117,4.316,4.437,3.995,3.641,3.35,4.109,4.808,4.409,4.491,4.747,4.826,4.801,4.918,4.797,4.713,4.394,4.817,5.013,4.122,4.043,
Chile,CHL,10.491,10.39,10.168,9.765,10.162,9.34,9.024,8.427,9.285,11.313,8.278,7.277,6.562,6.074,6.483,6.313,6.673,7.257,7.623,7.493,10.934,9.281,8.249,9.013,
Cyprus,CYP,4.766,4.043,3.336,4.153,4.77,5.481,4.593,3.946,3.756,5.594,6.36,7.942,12.097,16.131,16.277,15.026,13.006,11.155,8.504,7.155,7.755,7.513,6.807,5.835,
Czechia,CZE,8.764,8.128,7.281,7.777,8.298,7.927,7.141,5.316,4.393,6.662,7.281,6.712,6.979,6.953,6.108,5.048,3.952,2.893,2.246,2.015,2.551,2.803,2.224,2.58,
Germany,DEU,7.917,7.773,8.482,9.779,10.727,11.193,10.277,8.732,7.508,7.88,7.043,5.967,5.372,5.316,4.98,4.612,4.104,3.781,3.384,3.163,3.881,3.594,3.12,3.068,
Denmark,DNK,4.476,4.164,4.274,5.398,5.204,4.83,3.897,3.801,3.683,6.409,7.747,7.769,7.798,7.384,6.925,6.278,5.989,5.833,5.131,5.018,5.637,5.043,4.434,5.094,
Dominican Republic,DOM,6.432,7.262,6.779,6.938,6.303,6.587,5.655,5.158,4.764,5.467,5.212,6.087,6.722,7.352,6.719,7.605,7.284,5.832,5.861,6.356,6.126,7.702,5.504,5.555,
