Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Europe & Central Asia,ECS,9.19939584636925,8.621030876260605,8.635001335818027,8.724820504924317,8.67156830993455,8.3599162449355,7.935126844219907,7.200544552739563,7.161703447231785,9.099533248486162,9.186445559829002,8.831174387055508,9.042471818099735,9.23983618100985,8.917340204088683,8.529016458105751,8.101434908876742,7.497398973816945,6.985177263984256,6.733640323124142,7.070179766209705,6.936668652773304,5.833071701359097,5.569928548632561,
"Egypt, Arab Rep.",EGY,8.98,9.26,10.01,10.91,10.32,11.049,10.49,8.8,8.517,9.087,8.757,11.849,12.597,13.154,13.105,13.052,12.45,11.767,9.855,7.851,7.974,7.441,7.344,6.753,
Euro area,EMU,9.472259515274418,8.418762648363545,8.679847271014108,9.021087182916789,9.290411214844063,9.150511737655245,8.430376493326419,7.538207662384677,7.544836771660085,9.634995385006464,10.176002702686393,10.262207343741935,11.416177923085899,11.998938867862549,11.6285034142515,10.885219482677146,10.036470437803068,9.07375849850471,8.160935229501433,7.520370680299016,7.830216719013999,7.721582940227401,6.748114490742829,6.562318466996854,
Spain,ESP,13.785,10.348,11.146,11.283,11.09,9.146,8.452,8.232,11.255,17.857,19.86,21.391,24.789,26.094,24.441,22.057,19.635,17.224,15.255,14.105,15.532,14.781,12.917,12.179,
Estonia,EST,13.36,13.135,10.026,11.288,10.248,8.033,5.915,4.592,5.455,13.548,16.707,12.328,10.021,8.631,7.352,6.412,6.882,5.807,5.412,4.514,6.956,6.178,5.571,6.378,
European Union,EUU,9.706504373324165,9.210307196717798,9.564788535155499,9.703857237923431,9.856337543779844,9.632410825587755,8.687654202621099,7.502880043249842,7.241976999402928,9.212329785241147,9.874350831710945,9.929708210944458,10.875508140043118,11.350658166571083,10.82920484839447,10.020186213730542,9.109690224056651,8.136327781728179,7.2562411398033335,6.686730281617325,7.048397454619329,7.011439069609515,6.1423307650789205,6.0278011431940515,
Finland,FIN,11.135,10.291,10.423,10.469,10.358,9.602,8.935,6.854,6.369,8.25,8.394,7.781,7.689,8.193,8.663,9.376,8.818,8.64,7.361,6.695,7.759,7.617,6.719,7.151,
France,FRA,10.218,8.61,8.702,8.307,8.914,8.882,8.833,8.009,7.386,9.122,9.279,9.228,9.841,9.913,10.273,10.354,10.057,9.41,9.018,8.415,8.01,7.871,7.303,7.335,
United Kingdom,GBR,5.558,4.696,5.037,4.807,4.594,4.884,5.473,5.399,5.748,7.683,7.973,8.195,8.279,7.752,6.398,5.552,4.909,4.501,4.145,3.657,4.518,4.865,3.768,4.025,
Greece,GRC,11.345,10.764,10.346,9.839,10.628,10.074,8.906,8.351,7.664,9.546,12.719,17.973,24.731,27.686,26.708,24.981,23.514,21.414,19.179,17.045,15.899,14.657,12.426,11.023,
High income,HIC,7.054107618949584,6.915646685745306,7.242013692714937,7.363890467935998,7.134066668556016,6.801056647310263,6.332785401242516,5.719300700062895,5.9492914346549775,8.084726455935114,8.219698209223832,7.89154046696449,7.773606283343711,7.689653434932224,7.087431872222618,6.594422489591426,6.1038293579261484,5.600592022640689,5.095198751147817,4.765630403086683,6.441530062819327,5.5622317293517884,4.504994495317262,4.359774636238636,
"Hong Kong SAR, China",HKG,4.92,5.09,7.28,7.86,6.74,5.58,4.77,4.01,3.56,5.26,4.329,3.422,3.285,3.4,3.296,3.314,3.392,3.124,2.805,2.917,5.808,5.174,4.318,2.949,
Croatia,HRV,16.064,15.822,15.053,13.924,13.664,12.598,11.13,9.909,8.53,9.202,11.62,13.678,15.935,17.251,17.29,16.175,13.103,11.208,8.432,6.617,7.507,7.608,6.96,6.086,
Hungary,HUN,6.563,5.671,5.608,5.79,5.832,7.189,7.494,7.406,7.817,10.03,11.172,11.029,11.003,10.177,7.725,6.813,5.115,4.156,3.709,3.419,4.25,4.045,3.609,4.107,
Indonesia,IDN,6.078,6.082,6.604,6.658,7.303,7.945,7.551,8.06,7.209,6.106,5.614,5.153,4.468,4.336,4.049,4.514,4.301,3.783,4.387,3.59,4.255,3.827,3.462,3.308,
Ireland,IRL,4.318,3.684,4.216,4.478,4.491,4.237,4.355,4.98,6.774,12.609,14.534,15.354,15.451,13.735,11.858,9.908,8.374,6.713,5.741,4.95,5.623,6.364,4.501,4.288,
Iceland,ISL,1.936,1.874,2.988,3.997,4.031,2.547,2.83,2.251,2.946,7.22,7.564,7.028,6.0,5.376,4.897,3.979,2.978,2.742,2.704,3.507,5.478,6.029,3.789,3.518,
Israel,ISR,11.102,11.812,12.888,13.505,13.029,11.342,10.707,9.379,7.704,9.534,8.48,7.139,6.762,6.137,5.789,5.176,4.723,4.14,3.917,3.731,4.169,4.812,3.695,3.371,
Italy,ITA,10.834,9.599,9.211,8.869,7.866,7.731,6.777,6.076,6.723,7.749,8.363,8.359,10.655,12.149,12.683,11.896,11.688,11.211,10.61,9.952,9.164,9.497,8.069,7.627,
Jamaica,JAM,15.539,14.93,14.191,11.731,12.205,11.263,10.325,9.745,6.666,7.314,7.63,8.034,8.695,9.698,9.046,13.511,8.634,7.399,5.47,4.987,6.501,5.188,4.083,3.022,
Japan,JPN,4.748,5.02,5.386,5.251,4.734,4.446,4.192,3.888,4.002,5.068,5.103,4.55,4.358,4.038,3.589,3.385,3.132,2.822,2.467,2.351,2.809,2.809,2.615,2.6,
Kyrgyz Republic,KGZ,7.54,7.84,12.55,9.92,8.53,8.11,8.27,8.1,8.22,8.41,8.692,7.455,5.908,5.526,5.051,4.2,4.009,3.319,4.559,5.45,5.945,5.149,4.767,,
"Korea, Rep.",KOR,4.063,3.699,3.046,3.348,3.42,3.482,3.254,3.013,2.959,3.363,3.324,2.992,2.812,2.747,3.082,3.546,3.65,3.653,3.824,3.746,3.931,3.639,2.857,2.675,
Sri Lanka,LKA,7.74,7.9,8.76,8.22,8.38,7.67,6.5,5.97,5.22,5.85,4.784,4.118,3.88,4.186,4.157,4.519,4.243,4.046,4.318,4.67,5.365,4.981,4.528,,
Lithuania,LTU,15.931,16.84,13.008,12.875,10.684,8.325,5.78,4.25,5.826,13.785,17.814,15.39,13.365,11.77,10.698,9.12,7.862,7.073,6.147,6.255,8.487,7.112,5.956,6.841,
Luxembourg,LUX,2.345,1.805,2.621,3.675,5.113,4.488,4.731,4.065,5.06,5.194,4.423,5.122,5.03,6.045,6.044,6.796,6.669,5.523,5.589,5.592,6.766,5.571,4.588,5.184,
Latvia,LVA,14.211,13.821,13.829,12.061,11.708,10.033,7.03,6.052,7.739,17.515,19.482,16.206,15.047,11.867,10.846,9.873,9.643,8.715,7.412,6.312,8.098,7.513,6.815,6.465,
Moldova,MDA,8.539,7.366,6.845,6.378,6.374,5.633,4.26,2.749,2.097,3.024,2.972,2.677,2.19,1.894,1.451,1.781,1.591,1.622,1.239,1.502,1.206,0.794,0.909,1.57,
Mexico,MEX,2.646,2.627,3.003,3.455,3.937,3.558,3.566,3.628,3.874,5.356,5.303,5.175,4.892,4.921,4.819,4.311,3.853,3.419,3.275,3.477,4.441,4.019,3.256,2.765,
North Macedonia,MKD,32.2,30.52,31.94,36.69,37.161,37.32,36.392,35.231,33.93,32.351,33.135,31.502,31.096,29.017,28.215,26.395,24.312,22.857,21.208,17.414,16.575,15.801,14.477,13.174,
Malta,MLT,6.324,7.107,6.902,7.488,7.317,6.923,6.798,6.472,5.977,6.896,6.861,6.388,6.203,6.115,5.737,5.389,4.694,4.008,3.665,3.627,4.357,3.403,2.929,3.11,
North America,NAC,4.273168171661469,4.979619642011395,5.974864123660266,6.1532615153250365,5.701248195128768,5.257508596403536,4.81614395081572,4.782431657594546,5.836528463259552,9.169948521379157,9.477563527153468,8.807744508068621,7.995793674770734,7.349716083098559,6.261058830044916,5.461180946811036,5.1042360349058775,4.58063287231783,4.10818783801368,3.8917055337376545,8.230623858113624,5.592142830362023,3.8335206546717195,3.841815385223756,
Netherlands,NLD,2.725,2.119,2.554,3.593,4.646,5.873,5.007,4.153,3.658,4.352,4.991,4.977,5.821,7.241,7.419,6.872,6.007,4.837,3.832,3.379,3.82,4.209,3.526,3.537,
Norway,NOR,3.458,3.738,4.022,4.221,4.256,4.381,3.397,2.493,2.521,3.1,3.527,3.196,3.129,3.425,3.486,4.296,4.68,4.164,3.801,3.684,4.424,4.359,3.231,3.573,
New Zealand,NZL,6.13,5.433,5.282,4.745,4.005,3.807,3.857,3.661,4.167,6.121,6.557,6.491,6.931,5.839,5.428,5.415,5.147,4.736,4.335,4.109,4.595,3.776,3.297,3.731,
OECD members,OED,6.719970878641142,6.619354696379372,7.139909133054764,7.273567315199701,7.172797092389957,6.8322307317361055,6.189244979541861,5.889070082320098,6.205557036570912,8.381343446760713,8.517477468557987,8.118721992179712,8.101301513539138,7.98905684939157,7.4129255295030525,6.860437059685022,6.437919428635057,5.921600878127278,5.481618512562682,5.392505244145207,7.149881627215687,6.190876381085768,4.989960507153828,4.828981560536579,
Panama,PAN,13.53,14.71,14.11,13.62,12.44,10.33,9.11,6.78,4.868,6.56,5.832,3.922,3.714,3.732,4.444,4.402,4.843,5.461,5.313,6.409,18.548,10.293,8.281,6.678,
Peru,PER,4.069,4.848,4.84,4.151,4.707,4.866,4.172,4.079,4.025,3.964,3.596,3.477,3.238,3.575,3.208,3.272,3.741,3.691,3.492,3.379,7.179,5.097,4.291,4.899,
Poland,POL,14.928,18.435,20.211,19.899,18.822,17.592,13.794,9.551,7.069,8.131,9.578,9.576,10.031,10.293,8.971,7.475,6.141,4.867,3.835,3.267,3.155,3.268,2.811,2.743,
Portugal,PRT,3.806,3.829,4.497,6.132,6.319,7.582,7.649,7.966,7.553,9.432,10.771,12.682,15.531,16.188,13.897,12.447,11.068,8.869,6.994,6.464,6.801,6.577,6.011,6.509,
Paraguay,PRY,7.61,6.206,9.393,6.814,6.513,4.825,5.277,4.713,4.415,5.46,4.569,4.67,4.086,4.385,5.034,4.556,5.255,6.138,6.217,6.595,7.548,7.311,6.755,5.794,
West Bank and Gaza,PSE,10.625,21.493,27.465,23.004,23.215,20.016,19.014,18.282,22.913,20.452,21.416,17.597,19.202,19.894,20.527,23.005,23.939,25.677,26.256,25.34,25.895,26.39,24.42,,
Post-demographic dividend,PST,6.374306555915435,6.257560163240433,6.6277970595393825,6.718272011834264,6.5206882468556575,6.25886472336111,5.928772236736292,5.511665378894524,5.846517923714676,8.073196412418664,8.36956742040658,8.008229313393759,8.06420551837879,7.946579113494113,7.417222663447161,6.844323035223769,6.416252362267578,5.85587596370036,5.312769064507314,4.974737292227003,6.765527392012878,5.835534498748775,4.545127564205215,4.4959841300918155,
Romania,ROU,6.969,6.562,8.112,6.95,7.719,7.174,7.27,6.413,5.788,6.859,6.959,7.177,6.794,7.096,6.802,6.812,5.901,4.927,4.187,3.912,5.035,5.59,5.614,5.592,
Russian Federation,RUS,10.581,8.978,7.875,8.21,7.763,7.124,7.055,6.002,6.205,8.301,7.407,6.571,5.484,5.513,5.212,5.615,5.591,5.238,4.871,4.513,5.62,4.749,3.867,3.076,
El Salvador,SLV,6.96,6.96,6.2,6.9,6.8,7.22,6.57,6.41,5.88,7.33,4.893,4.297,3.843,3.693,4.154,3.998,4.418,4.385,4.006,4.17,5.008,4.327,2.999,2.992,
Serbia,SRB,12.6,12.8,13.8,15.2,18.5,20.85,20.85,18.06,13.67,16.116,19.204,22.959,24.0,22.154,19.223,17.66,15.257,13.477,12.733,10.395,9.011,9.843,8.439,8.268,
Slovak Republic,SVK,18.546,19.149,18.541,17.55,18.206,16.276,13.395,11.16,9.514,12.023,14.387,13.634,13.966,14.227,11.537,11.492,9.679,8.142,6.544,5.761,6.719,6.894,6.143,5.843,
Slovenia,SVN,6.92,5.682,5.922,6.479,6.012,6.506,5.95,4.818,4.371,5.858,7.236,8.166,8.841,10.103,9.668,8.962,8.0,6.565,5.108,4.446,4.971,4.744,4.011,3.652,
Sweden,SWE,5.466,4.73,4.965,5.555,6.693,7.81,7.066,6.161,6.235,8.351,8.61,7.804,7.976,8.052,7.954,7.432,6.99,6.718,6.365,6.833,8.291,8.722,7.392,7.611,
Europe & Central Asia (IDA & IBRD countries),TEC,10.05300859164014,9.877742576322126,9.659436565286557,9.525787793616537,9.18644048159551,8.547464877522348,8.211013670727882,7.496866020331271,7.365957711053911,9.178711987345675,8.804946977881638,8.04935616762961,7.554273660072136,7.608193874913476,7.543580333421833,7.5268772485605355,7.471702964019471,7.103931391682766,6.857938194027261,6.923809573716774,7.150550189190743,6.87292585973707,5.59650990495909,4.992782201010018,
Turkiye,TUR,6.495,8.381,10.358,10.542,10.838,10.636,10.227,10.285,10.965,14.026,11.879,9.789,9.21,9.713,9.901,10.304,10.899,10.919,10.956,13.73,13.148,11.969,10.465,9.388,
Uruguay,URY,12.627,15.052,16.648,16.661,12.98,12.009,10.844,9.403,8.026,7.74,7.158,6.307,6.451,6.444,6.547,7.488,7.841,7.89,8.336,8.836,10.413,9.328,7.877,8.355,
United States,USA,3.992,4.731,5.783,5.989,5.529,5.084,4.623,4.622,5.784,9.254,9.633,8.949,8.069,7.375,6.168,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.638,
South Africa,ZAF,29.88,25.371,27.18,27.116,24.673,23.84,22.616,22.326,22.407,23.523,24.683,24.639,24.727,24.561,24.89,25.149,26.537,27.035,26.906,28.468,29.217,34.007,33.268,32.098,
