Date,Argentina,Australia,Brasil,Canada,China,France,Germany,India,Italy,Japan,Mexico,South Korea,Turkey,USA
2003-03-19,1.01986,0.92564,0.91564,0.94387,1.10136,0.88394,0.82832,0.93592,0.90953,0.92399,0.9501,0.81262,0.95954,0.94081
2003-03-20,1.0361,0.93194,0.92837,0.9471,1.0973,0.87059,0.82504,0.95743,0.89753,0.94052,0.95499,0.85263,0.93116,0.94258
2003-03-24,1.02888,0.92947,0.91955,0.93078,1.10721,0.84941,0.80715,0.94167,0.89669,0.96807,0.9354,0.85472,0.85859,0.93027
2003-03-25,1.0361,0.92814,0.93444,0.93385,1.09569,0.87089,0.83494,0.94169,0.91115,0.94554,0.93756,0.83242,0.88709,0.94158
2003-03-26,1.02527,0.9404,0.93228,0.92975,1.0911,0.86833,0.81695,0.94263,0.91093,0.95852,0.93983,0.83213,0.90839,0.93643
2003-03-27,1.02708,0.94053,0.93453,0.92923,1.12338,0.84817,0.81845,0.9346,0.8967,0.96044,0.93967,0.82384,0.92421,0.93489
2003-03-28,1.02347,0.94222,0.94809,0.93304,1.11783,0.85133,0.79843,0.9342,0.90107,0.95029,0.93906,0.83444,0.92991,0.92948
2003-04-01,1.02166,0.93718,0.96439,0.92655,1.14076,0.82082,0.77605,0.92385,0.88206,0.91661,0.93089,0.80779,0.94366,0.92408
2003-04-02,1.01444,0.93721,0.98769,0.93768,1.13984,0.85472,0.82013,0.93466,0.90759,0.92615,0.94869,0.81433,0.94667,0.94821
2003-04-03,1.01986,0.94576,0.99884,0.93554,1.13265,0.86868,0.81394,0.94491,0.91731,0.92017,0.95283,0.81781,0.98029,0.94342
2003-04-04,1.02708,0.95386,1.00383,0.93531,1.1397,0.88403,0.84063,0.94987,0.91875,0.92664,0.97245,0.83696,1.00557,0.94601
2003-04-07,1.02527,0.96878,1.00965,0.94106,1.1352,0.91447,0.88968,0.96412,0.94244,0.94682,0.98795,0.87879,1.03724,0.94717
2003-04-08,1.02347,0.96859,0.97995,0.9417,1.13926,0.90133,0.87665,0.95201,0.94185,0.93321,0.98832,0.88092,1.01502,0.9454
2003-04-09,1.01986,0.95939,0.97829,0.93816,1.15658,0.89962,0.86598,0.94194,0.93739,0.92475,0.98084,0.85415,1.05107,0.93216
2003-04-10,1.02166,0.95763,0.96431,0.93875,1.16221,0.87487,0.85426,0.91017,0.92984,0.91585,0.97167,0.86654,1.0263,0.93818
2003-04-11,1.02527,0.9589,0.97496,0.94074,1.18145,0.88408,0.86593,0.89894,0.93515,0.89707,0.97502,0.8744,1.02014,0.93465
2003-04-15,1.06859,0.96534,1.00715,0.94894,1.22237,0.91005,0.89765,0.89879,0.94741,0.89964,1.00002,0.90743,1.07837,0.95888
2003-04-16,1.08484,0.96891,1.00191,0.94795,1.20346,0.90184,0.89466,0.90927,0.9403,0.9043,0.99576,0.93195,1.09739,0.94715
2003-04-22,1.17329,0.96911,1.03594,0.96279,1.17533,0.9079,0.93783,0.89524,0.95641,0.89409,1.00639,0.90492,1.10118,0.98101
2003-04-24,1.1769,0.9761,1.00832,0.95968,1.12655,0.9043,0.91587,0.88076,0.95997,0.90144,1.00726,0.88247,1.0736,0.98108
2003-04-28,1.09928,0.96719,1.03677,0.95779,1.1521,0.91879,0.9356,0.8806,0.96487,0.87313,1.01496,0.85347,1.09209,0.98475
2003-04-30,1.14801,0.97792,1.04468,0.96326,1.13993,0.92007,0.93184,0.88752,0.9649,0.89879,1.02786,0.89897,1.11129,0.98699
2003-05-12,1.12635,0.96771,1.10815,0.98248,1.14774,0.92286,0.93032,0.88242,0.96824,0.94351,1.02573,0.9465,1.03433,1.01733
2003-05-13,1.11733,0.96943,1.11656,0.98034,1.11286,0.92317,0.92167,0.88777,0.96754,0.93997,1.02501,0.92105,1.02253,1.01431
2003-05-14,1.13899,0.96599,1.11972,0.98612,1.14104,0.92261,0.92677,0.89776,0.9704,0.94624,1.03416,0.9149,1.00348,1.01105
2003-05-15,1.13177,0.96196,1.09235,0.98846,1.16529,0.93325,0.94683,0.90347,0.98083,0.9323,1.04738,0.92896,0.98765,1.01901
